64901.48 KB/s, 1 threads
65339.24 KB/s, 3 threads
63303.18 KB/s, 4 threads
79333.66 KB/s, 5 threads
52728.53 KB/s, 7 threads
56768.44 KB/s, 8 threads
60324.86 KB/s, 10 threads
59769.35 KB/s, 16 threads





4376.35 KB/s, 3 threads
0.00 KB/s, 3 threads
20837.56 KB/s, 6 threads
18247.69 KB/s, 6 threads
13151.23 KB/s, 6 threads
2296.16 KB/s, 3 threads
0.00 KB/s, 3 threads
0.00 KB/s, 3 threads
28985.07 KB/s, 6 threads
0.00 KB/s, 6 threads
19555.12 KB/s, 6 threads
28225.80 KB/s, 6 threads
3840.50 KB/s, 6 threads
28900.55 KB/s, 6 threads
27789.74 KB/s, 6 threads
27588.63 KB/s, 6 threads
38254.14 KB/s, 6 threads
39954.48 KB/s, 6 threads
44198.61 KB/s, 6 threads
45306.32 KB/s, 6 threads
51447.34 KB/s, 6 threads
